Row,Write,kill API,chdir API,Accept,B/M/M,Connect,network_http,clone API,Rename,Read,postgresql,S/P,execve API,Label
134,1960,0,0,20,140,0,996,0,0,2970,0,1948,0,1
135,964,0,0,10,106,0,490,0,0,1478,0,960,0,1
136,1962,0,0,20,114,0,990,0,0,2973,0,1954,0,1
137,1964,0,0,20,88,0,990,0,0,2965,0,1946,0,1
138,968,0,0,10,62,0,489,0,0,1469,0,958,0,1
139,1962,0,0,20,110,0,998,0,0,2962,0,1956,0,1
140,1966,0,0,20,114,0,992,0,0,2978,0,1958,0,1
141,982,0,0,10,64,0,495,0,0,1490,0,974,0,1
142,1891,0,0,20,122,0,962,0,0,2855,0,1878,0,1
143,1982,0,0,20,112,0,1008,0,0,2992,0,1968,0,1
144,982,0,0,10,108,0,500,0,0,1505,0,976,0,1
145,1915,0,0,20,110,0,967,0,0,2901,0,1908,0,1
146,1982,0,0,20,114,0,999,0,0,3003,0,1972,0,1
147,988,0,0,10,62,0,498,0,0,1498,0,986,0,1
148,1924,0,0,20,114,0,978,0,0,2905,0,1916,0,1
149,1986,0,0,20,112,0,1010,0,0,2998,0,1974,0,1
150,732,0,0,14,92,0,370,0,0,1126,0,758,0,1
151,1568,0,0,26,102,0,793,0,0,2372,0,1614,0,1
152,1592,0,0,26,118,0,811,0,0,2407,0,1642,0,1
153,1034,0,0,16,78,0,521,0,0,1570,0,1046,0,1
154,1918,0,0,26,110,0,970,0,0,2898,0,1938,0,1
155,1919,0,0,26,112,0,968,0,0,2897,0,1944,0,1
156,968,0,0,10,64,0,489,0,0,1471,0,976,0,1
157,1908,0,0,20,120,0,971,0,0,2881,0,1898,0,1
158,1944,0,0,20,114,0,988,0,0,2938,0,1934,0,1
159,930,0,0,12,118,0,475,0,0,1428,0,984,0,1
160,1930,0,0,24,134,0,973,0,0,2926,0,1962,0,1
161,1930,0,0,24,128,0,973,0,0,2925,0,1952,0,1
162,966,0,0,10,62,0,487,0,0,1466,0,966,0,1
163,1964,0,0,20,114,0,999,0,0,2965,0,1963,0,1
164,1966,0,0,20,102,0,992,0,0,2966,0,1962,0,1
165,974,0,0,10,64,0,492,0,0,1478,0,966,0,1
166,1974,0,0,20,92,0,995,0,0,2978,0,1964,0,1
167,1913,0,0,20,126,0,974,0,0,2890,0,1896,0,1
168,958,0,0,10,106,0,487,0,0,1469,0,964,0,1
169,1957,0,0,20,116,0,987,0,0,2965,0,1954,0,1
170,1958,0,0,20,116,0,988,0,0,2967,0,1950,0,1
171,978,0,0,10,62,0,494,0,0,1486,0,976,0,1
172,1945,0,0,20,92,0,981,0,0,2937,0,1936,0,1
173,1976,0,0,20,112,0,1005,0,0,2986,0,1980,0,1
174,964,0,0,10,110,0,491,0,0,1479,0,958,0,1
175,1922,0,0,20,94,0,969,0,0,2902,0,1912,0,1
176,1964,0,0,20,94,0,991,0,0,2966,0,1958,0,1
177,974,0,0,10,62,0,492,0,0,1477,0,978,0,1
178,1938,0,0,20,134,0,986,0,0,2938,0,1934,0,1
179,1972,0,0,20,118,0,994,0,0,2987,0,1960,0,1
180,984,0,0,10,88,0,496,0,0,1507,0,982,0,1
181,1933,0,0,20,94,0,975,0,0,2919,0,1926,0,1
182,1984,0,0,20,90,0,1001,0,0,2995,0,1972,0,1
183,956,0,0,10,88,0,487,0,0,1456,0,952,0,1
184,1939,0,0,20,120,0,979,0,0,2939,0,1926,0,1
185,1955,0,0,20,96,0,986,0,0,2952,0,1940,0,1
186,966,0,0,10,84,0,487,0,0,1477,0,962,0,1
187,1948,0,0,20,120,0,991,0,0,2942,0,1934,0,1
188,1966,0,0,20,132,0,1000,0,0,2980,0,1960,0,1
189,974,0,0,8,86,0,496,0,0,1481,0,972,0,1
190,1954,0,0,18,104,0,987,0,0,2959,0,1944,0,1
191,1974,0,0,18,88,0,995,0,0,2979,0,1960,0,1
192,970,0,0,10,64,0,489,0,0,1474,0,962,0,1
193,1958,0,0,20,114,0,996,0,0,2960,0,1946,0,1
194,1970,0,0,20,112,0,993,0,0,2986,0,1954,0,1
195,978,0,0,10,88,0,493,0,0,1496,0,968,0,1
196,1942,0,0,20,116,0,980,0,0,2941,0,1928,0,1
197,1976,0,0,20,92,0,996,0,0,2982,0,1972,0,1
198,964,0,0,10,110,0,491,0,0,1476,0,958,0,1
199,1964,0,0,20,142,0,990,0,0,2975,0,1952,0,1
200,1904,0,0,20,110,0,961,0,0,2884,0,1898,0,1
201,981,0,0,10,66,0,495,0,0,1491,0,978,0,1
202,1930,0,0,20,116,0,981,0,0,2917,0,1918,0,1
203,1980,0,0,20,120,0,1007,0,0,2993,0,1968,0,1
204,979,0,0,10,106,0,499,0,0,1498,0,976,0,1
205,1924,0,0,20,110,0,970,0,0,2915,0,1918,0,1
206,1978,0,0,20,112,0,997,0,0,2995,0,1964,0,1
207,990,0,0,10,112,0,503,0,0,1516,0,992,0,1
208,1874,0,0,20,138,0,955,0,0,2842,0,1870,0,1
209,1958,0,0,20,118,0,988,0,0,2966,0,1948,0,1
210,978,0,0,10,64,0,494,0,0,1484,0,970,0,1
211,1952,0,0,20,88,0,984,0,0,2947,0,1938,0,1
212,1976,0,0,20,118,0,1004,0,0,2986,0,1960,0,1
213,980,0,0,10,110,0,498,0,0,1501,0,974,0,1
214,1918,0,0,20,114,0,967,0,0,2905,0,1910,0,1
215,1980,0,0,20,118,0,999,0,0,2999,0,1972,0,1
216,970,0,0,10,64,0,490,0,0,1472,0,962,0,1
217,1899,0,0,20,140,0,966,0,0,2877,0,1882,0,1
218,1970,0,0,20,138,0,1001,0,0,2986,0,1954,0,1
219,982,0,0,10,110,0,499,0,0,1505,0,976,0,1
220,1932,0,0,20,92,0,974,0,0,2918,0,1914,0,1
221,1980,0,0,20,92,0,999,0,0,2990,0,1982,0,1
222,982,0,0,10,62,0,496,0,0,1490,0,978,0,1
223,1926,0,0,20,136,0,979,0,0,2920,0,1912,0,1
224,1980,0,0,20,116,0,999,0,0,3000,0,1972,0,1
225,976,0,0,10,88,0,492,0,0,1493,0,974,0,1
226,1925,0,0,20,118,0,979,0,0,2905,0,1914,0,1
227,1976,0,0,20,140,0,1005,0,0,2995,0,1960,0,1
228,972,0,0,10,88,0,496,0,0,1480,0,970,0,1
229,1950,0,0,20,110,0,984,0,0,2957,0,1940,0,1
230,1972,0,0,20,92,0,994,0,0,2978,0,1960,0,1
231,952,0,0,10,68,0,480,0,0,1448,0,942,0,1
232,1952,0,0,20,130,0,992,0,0,2951,0,1940,0,1
233,1936,0,0,18,136,0,986,0,0,2937,0,1926,0,1
234,986,0,0,10,88,0,497,0,0,1508,0,978,0,1
235,1924,0,0,20,116,0,971,0,0,2914,0,1912,0,1
236,1986,0,0,20,96,0,1001,0,0,2997,0,1972,0,1
237,986,0,0,10,66,0,497,0,0,1499,0,982,0,1
238,1920,0,0,20,116,0,976,0,0,2900,0,1914,0,1
239,1986,0,0,20,118,0,1001,0,0,3010,0,1978,0,1
240,978,0,0,10,68,0,494,0,0,1488,0,972,0,1
241,1948,0,0,20,118,0,990,0,0,2944,0,1936,0,1
242,1920,0,0,20,122,0,978,0,0,2904,0,1912,0,1
243,960,0,0,10,110,0,489,0,0,1473,0,954,0,1
244,1958,0,0,20,110,0,987,0,0,2967,0,1956,0,1
245,1960,0,0,20,116,0,988,0,0,2968,0,1950,0,1
246,984,0,0,10,62,0,496,0,0,1493,0,984,0,1
247,1926,0,0,20,114,0,979,0,0,2908,0,1918,0,1
248,1984,0,0,20,118,0,1009,0,0,2993,0,1976,0,1
249,988,0,0,10,86,0,499,0,0,1510,0,978,0,1
250,1942,0,0,18,90,0,979,0,0,2930,0,1930,0,1
251,1928,0,0,20,114,0,980,0,0,2909,0,1916,0,1
252,974,0,0,10,84,0,495,0,0,1482,0,974,0,1
253,1934,0,0,20,130,0,983,0,0,2933,0,1926,0,1
254,1974,0,0,20,114,0,996,0,0,2989,0,1958,0,1
255,970,0,0,10,84,0,490,0,0,1483,0,962,0,1
256,1960,0,0,20,86,0,988,0,0,2955,0,1950,0,1
257,1968,0,0,20,114,0,1000,0,0,2971,0,1960,0,1
258,986,0,0,10,86,0,501,0,0,1498,0,986,0,1
259,1893,0,0,20,86,0,955,0,0,2856,0,1880,0,1
260,1984,0,0,20,96,0,1002,0,0,2994,0,1974,0,1
261,970,0,0,10,84,0,490,0,0,1485,0,972,0,1
262,1928,0,0,20,136,0,980,0,0,2924,0,1918,0,1
263,1970,0,0,20,146,0,1001,0,0,2987,0,1956,0,1
264,982,0,0,12,74,0,495,0,0,1494,0,1000,0,1
265,1924,0,0,22,98,0,970,0,0,2904,0,1936,0,1
266,1982,0,0,22,100,0,1000,0,0,2993,0,1988,0,1
267,978,0,0,10,90,0,498,0,0,1489,0,970,0,1
268,1900,0,0,20,114,0,959,0,0,2881,0,1884,0,1
269,1978,0,0,20,90,0,997,0,0,2986,0,1960,0,1
270,978,0,0,10,88,0,493,0,0,1496,0,972,0,1
271,1934,0,0,20,86,0,975,0,0,2919,0,1926,0,1
272,1978,0,0,20,138,0,1006,0,0,2996,0,1960,0,1
273,976,0,0,10,88,0,497,0,0,1486,0,970,0,1
274,1942,0,0,20,122,0,979,0,0,2943,0,1938,0,1
275,1976,0,0,20,86,0,996,0,0,2981,0,1968,0,1
276,970,0,0,10,66,0,490,0,0,1476,0,966,0,1
277,1900,0,0,20,130,0,967,0,0,2873,0,1882,0,1
278,1970,0,0,20,138,0,1002,0,0,2988,0,1952,0,1
279,978,0,0,10,88,0,493,0,0,1496,0,972,0,1
280,1940,0,0,20,122,0,978,0,0,2937,0,1926,0,1
281,1978,0,0,20,90,0,997,0,0,2984,0,1968,0,1
282,970,0,0,8,64,0,489,0,0,1473,0,966,0,1
283,1968,0,0,18,92,0,993,0,0,2970,0,1956,0,1
284,1970,0,0,18,112,0,993,0,0,2982,0,1956,0,1
285,952,0,0,10,62,0,480,0,0,1447,0,970,0,1
286,1934,0,0,20,104,0,983,0,0,2922,0,1932,0,1
287,1952,0,0,20,128,0,993,0,0,2949,0,1964,0,1
288,954,0,0,10,112,0,486,0,0,1464,0,988,0,1
289,1942,0,0,20,122,0,979,0,0,2943,0,1978,0,1
290,1952,0,0,20,120,0,985,0,0,2958,0,1964,0,1
291,952,0,0,10,68,0,479,0,0,1445,0,946,0,1
292,1950,0,0,20,148,0,991,0,0,2956,0,1942,0,1
293,1938,0,0,18,120,0,978,0,0,2936,0,1924,0,1
294,978,0,0,10,90,0,495,0,0,1499,0,972,0,1
295,1936,0,0,20,96,0,977,0,0,2924,0,1940,0,1
296,1978,0,0,20,108,0,1005,0,0,2988,0,1962,0,1
297,980,0,0,10,88,0,498,0,0,1490,0,970,0,1
298,1928,0,0,20,110,0,974,0,0,2923,0,1924,0,1
299,1980,0,0,20,120,0,999,0,0,2999,0,1962,0,1
300,968,0,0,10,86,0,489,0,0,1480,0,958,0,1
301,1968,0,0,20,140,0,1001,0,0,2983,0,1966,0,1
302,1892,0,0,20,134,0,962,0,0,2868,0,1876,0,1
303,978,0,0,10,94,0,497,0,0,1490,0,970,0,1
304,1948,0,0,20,94,0,983,0,0,2941,0,1934,0,1
305,1978,0,0,20,94,0,997,0,0,2987,0,1960,0,1
306,977,0,0,10,84,0,494,0,0,1493,0,972,0,1
307,1926,0,0,20,136,0,980,0,0,2919,0,1916,0,1
308,1976,0,0,20,118,0,996,0,0,2992,0,1964,0,1
309,970,0,0,10,92,0,489,0,0,1484,0,960,0,1
310,1908,0,0,20,96,0,963,0,0,2881,0,1894,0,1
311,1966,0,0,20,144,0,999,0,0,2980,0,1948,0,1
312,988,0,0,10,88,0,503,0,0,1504,0,980,0,1
313,1920,0,0,20,124,0,968,0,0,2911,0,1910,0,1
314,1986,0,0,20,86,0,1002,0,0,2999,0,1972,0,1
315,984,0,0,10,88,0,496,0,0,1505,0,978,0,1
316,1920,0,0,20,98,0,969,0,0,2898,0,1910,0,1
317,1984,0,0,20,136,0,1008,0,0,3007,0,1964,0,1
318,970,0,0,10,110,0,494,0,0,1486,0,962,0,1
319,1908,0,0,20,112,0,962,0,0,2889,0,1902,0,1
320,1970,0,0,20,90,0,993,0,0,2972,0,1952,0,1
321,964,0,0,10,68,0,487,0,0,1466,0,956,0,1
322,1963,0,0,20,116,0,999,0,0,2967,0,1956,0,1
323,1964,0,0,20,120,0,990,0,0,2977,0,1954,0,1
324,984,0,0,10,88,0,496,0,0,1505,0,984,0,1
325,1930,0,0,20,110,0,973,0,0,2922,0,1918,0,1
326,1984,0,0,20,88,0,1000,0,0,2993,0,1972,0,1
327,968,0,0,10,112,0,494,0,0,1483,0,962,0,1
328,1902,0,0,20,116,0,962,0,0,2884,0,1890,0,1
329,1968,0,0,20,112,0,992,0,0,2980,0,1954,0,1
330,984,0,0,10,66,0,496,0,0,1496,0,976,0,1
331,1928,0,0,20,116,0,980,0,0,2912,0,1922,0,1
332,1984,0,0,20,114,0,1008,0,0,2998,0,1968,0,1
333,982,0,0,8,108,0,501,0,0,1504,0,974,0,1
334,1936,0,0,18,88,0,977,0,0,2921,0,1926,0,1
335,1984,0,0,18,90,0,1000,0,0,2993,0,1966,0,1
336,980,0,0,10,88,0,499,0,0,1490,0,970,0,1
337,1926,0,0,20,132,0,980,0,0,2921,0,1912,0,1
338,1980,0,0,20,114,0,998,0,0,2999,0,1960,0,1
339,980,0,0,10,88,0,495,0,0,1501,0,970,0,1
340,1938,0,0,20,90,0,978,0,0,2927,0,1931,0,1
341,1980,0,0,20,110,0,1006,0,0,2991,0,1964,0,1
342,952,0,0,10,96,0,485,0,0,1451,0,950,0,1
343,1952,0,0,20,98,0,984,0,0,2947,0,1938,0,1
344,1952,0,0,20,96,0,984,0,0,2948,0,1934,0,1
345,984,0,0,10,84,0,497,0,0,1504,0,978,0,1
346,1909,0,0,20,136,0,972,0,0,2894,0,1892,0,1
347,1982,0,0,20,132,0,1008,0,0,3004,0,1972,0,1
348,990,0,0,10,94,0,501,0,0,1507,0,984,0,1
349,1925,0,0,20,90,0,971,0,0,2906,0,1912,0,1
350,1990,0,0,20,94,0,1003,0,0,3005,0,1972,0,1
351,974,0,0,10,90,0,496,0,0,1483,0,972,0,1
352,1972,0,0,20,140,0,1004,0,0,2991,0,1964,0,1
353,1894,0,0,20,94,0,956,0,0,2861,0,1888,0,1
354,976,0,0,10,88,0,493,0,0,1493,0,970,0,1
355,1938,0,0,20,84,0,979,0,0,2924,0,1928,0,1
356,1976,0,0,20,136,0,1004,0,0,2995,0,1960,0,1
357,986,0,0,10,88,0,501,0,0,1501,0,978,0,1
358,1922,0,0,20,120,0,969,0,0,2914,0,1910,0,1
359,1984,0,0,20,102,0,1001,0,0,2995,0,1974,0,1
360,986,0,0,12,68,0,498,0,0,1495,0,982,0,1
361,1874,0,0,22,116,0,954,0,0,2830,0,1870,0,1
362,1988,0,0,22,118,0,1002,0,0,3010,0,1972,0,1
363,976,0,0,10,84,0,492,0,0,1494,0,968,0,1
364,1949,0,0,20,114,0,983,0,0,2953,0,1934,0,1
365,1976,0,0,20,86,0,997,0,0,2983,0,1960,0,1
366,978,0,0,10,62,0,494,0,0,1482,0,970,0,1
367,1948,0,0,20,112,0,991,0,0,2941,0,1930,0,1
368,1976,0,0,20,112,0,996,0,0,2992,0,1960,0,1
369,962,0,0,10,66,0,485,0,0,1460,0,956,0,1
370,1930,0,0,20,110,0,982,0,0,2914,0,1914,0,1
371,1964,0,0,20,116,0,999,0,0,2965,0,1950,0,1
372,974,0,0,10,106,0,496,0,0,1493,0,970,0,1
373,1936,0,0,20,108,0,978,0,0,2934,0,1922,0,1
374,1974,0,0,20,110,0,995,0,0,2991,0,1958,0,1
375,976,0,0,10,70,0,492,0,0,1484,0,986,0,1
376,1928,0,0,20,112,0,980,0,0,2913,0,1942,0,1
377,1976,0,0,20,122,0,1005,0,0,2986,0,1972,0,1
378,974,0,0,10,84,0,491,0,0,1489,0,964,0,1
379,1918,0,0,20,92,0,969,0,0,2894,0,1902,0,1
380,1974,0,0,20,92,0,995,0,0,2978,0,1956,0,1
381,962,0,0,10,84,0,490,0,0,1463,0,952,0,1
382,1960,0,0,20,132,0,996,0,0,2972,0,1946,0,1
383,1960,0,0,20,124,0,988,0,0,2970,0,1942,0,1
384,978,0,0,10,84,0,494,0,0,1495,0,972,0,1
385,1954,0,0,20,90,0,986,0,0,2948,0,1938,0,1
386,1978,0,0,20,84,0,997,0,0,2984,0,1960,0,1
387,970,0,0,10,84,0,494,0,0,1474,0,962,0,1
388,1946,0,0,20,96,0,981,0,0,2936,0,1926,0,1
389,1968,0,0,20,88,0,992,0,0,2969,0,1950,0,1
390,974,0,0,10,84,0,491,0,0,1491,0,968,0,1
391,1926,0,0,20,132,0,980,0,0,2921,0,1910,0,1
392,1973,0,0,20,144,0,1004,0,0,2991,0,1960,0,1
393,964,0,0,10,86,0,487,0,0,1476,0,954,0,1
394,1964,0,0,20,94,0,991,0,0,2966,0,1948,0,1
395,1922,0,0,20,132,0,977,0,0,2913,0,1904,0,1
396,984,0,0,10,84,0,500,0,0,1495,0,976,0,1
397,1926,0,0,20,128,0,980,0,0,2920,0,1912,0,1
398,1984,0,0,20,92,0,1001,0,0,2993,0,1970,0,1
399,975,0,0,10,84,0,493,0,0,1492,0,968,0,1
400,1941,0,0,20,88,0,979,0,0,2930,0,1928,0,1
401,1974,0,0,20,138,0,1003,0,0,2993,0,1956,0,1
402,984,0,0,10,108,0,500,0,0,1506,0,976,0,1
403,1964,0,0,18,118,0,990,0,0,2976,0,1948,0,1
404,1900,0,0,20,88,0,959,0,0,2869,0,1886,0,1
405,974,0,0,12,70,0,492,0,0,1481,0,970,0,1
406,1922,0,0,22,118,0,976,0,0,2904,0,1934,0,1
407,1974,0,0,22,138,0,1003,0,0,2993,0,1986,0,1
408,972,0,0,10,84,0,490,0,0,1487,0,970,0,1
409,1950,0,0,20,118,0,984,0,0,2955,0,1942,0,1
410,1970,0,0,20,86,0,994,0,0,2974,0,1966,0,1
411,978,0,0,10,108,0,498,0,0,1499,0,972,0,1
412,1882,0,0,20,116,0,950,0,0,2857,0,1868,0,1
413,1978,0,0,20,116,0,997,0,0,2997,0,1960,0,1
414,980,0,0,10,64,0,494,0,0,1487,0,978,0,1
415,1940,0,0,20,106,0,987,0,0,2929,0,1928,0,1
416,1980,0,0,20,108,0,1007,0,0,2989,0,1966,0,1
417,994,0,0,10,106,0,506,0,0,1523,0,990,0,1
418,1897,0,0,20,108,0,957,0,0,2875,0,1882,0,1
419,1993,0,0,20,110,0,1005,0,0,3019,0,1982,0,1
420,968,0,0,10,66,0,488,0,0,1471,0,960,0,1
421,1906,0,0,20,132,0,969,0,0,2891,0,1886,0,1
422,1968,0,0,20,134,0,1001,0,0,2983,0,1956,0,1
423,994,0,0,10,84,0,501,0,0,1519,0,986,0,1
424,1922,0,0,20,88,0,970,0,0,2901,0,1906,0,1
425,1994,0,0,20,88,0,1005,0,0,3008,0,1976,0,1
426,982,0,0,10,62,0,495,0,0,1492,0,974,0,1
